data_dim,rho,method,num_seeds,w1_mean,w1_std,w2_mean,w2_std,mean_error_mean,mean_error_std,diag_var_error_mean,diag_var_error_std,offdiag_cov_error_mean,offdiag_cov_error_std,cov_fro_error_mean,cov_fro_error_std,avg_abs_corr_mean,avg_abs_corr_std
2,0.2,Best diagonal Gaussian,10,0.30093242145310156,0.03574737405359454,0.37873606929137277,0.035829236866571586,0.054096876084804534,0.02380003036206939,0.03950052261352539,0.02067396204076937,0.20066944807767867,0.020392149772207182,0.29238143265247346,0.026269853594228995,0.014438527741003782,0.009982186937401315
2,0.2,Product marginals,10,0.295083357495504,0.02378507965076577,0.3706089162535151,0.025820945386873368,0.06793833626434206,0.031844106325699104,0.04149527847766876,0.02274916067839852,0.20175637900829316,0.03670469014872196,0.2938026160001755,0.054490932772195556,0.024861237918958067,0.02182955045280119
2,0.2,WGAN,10,0.2953796863418859,0.03344530451377304,0.3687913640057868,0.042876134218020646,0.06103527946397662,0.030414962418684126,0.0628721296787262,0.03912647477392245,0.19592128098011016,0.017969760299215792,0.2981134355068207,0.034566472646778396,0.01483145540660189,0.013302397558123683
2,0.5,Best diagonal Gaussian,10,0.3430017266606786,0.041592415556935054,0.44233730417810707,0.053753266667719235,0.0526793691329658,0.025876208700692408,0.07004443705081939,0.030483815485076855,0.49926831424236295,0.020414861915656987,0.7158703327178955,0.028416180151092336,0.014438529149629176,0.009982189104172612
2,0.5,Product marginals,10,0.3700766625700592,0.038695251740285354,0.4836214105973804,0.050983355716309874,0.06544892396777868,0.036696171185152344,0.037761989235877993,0.018281801081518525,0.4994913339614868,0.044059323969441795,0.7094588994979858,0.06319839419670592,0.026615126384422184,0.020339049400837736
2,0.5,WGAN,10,0.3802830573342041,0.05030519098415517,0.49127476766924827,0.06258771775964875,0.06793138701468707,0.029184073956054636,0.10905799567699433,0.04839742257605402,0.4929960459470749,0.022888556432516395,0.7175860166549682,0.03966321655425375,0.017115229502087458,0.015038011629375198
2,0.8,Best diagonal Gaussian,10,0.5849533126935305,0.0570674680338095,0.7252485767095171,0.057562694772477364,0.04972089901566505,0.02979385837843432,0.20154141783714294,0.03348611401430181,0.7975942313671112,0.024304667819229048,1.1647618532180786,0.039764804341050966,0.01443852677475661,0.009982187574468384
2,0.8,Product marginals,10,0.5786970579608837,0.03315188916933969,0.7191819457640297,0.04451905003488607,0.06244625318795442,0.04057215583491565,0.0352037787437439,0.017007552050004315,0.7967551708221435,0.04989483303320876,1.128495490550995,0.07127657819752323,0.025437644706107675,0.017707965805672875
2,0.8,WGAN,10,0.5702418464344033,0.029168852889884567,0.7121211973865325,0.030978819070712833,0.06732916049659252,0.020094349427309813,0.2112830549478531,0.0480349546870951,0.7888338923454284,0.027569768803712827,1.1566205739974975,0.05351868151792905,0.017767956596799195,0.014345407047079137
5,0.2,Best diagonal Gaussian,10,1.1140831349549671,0.025714267472418343,1.2065617036650358,0.02948380518697216,0.08295203074812889,0.02865865181920204,0.04716685302555561,0.010345855353962182,0.1968635782599449,0.009983738898412553,0.8969663262367249,0.044884905641031383,0.01700277328491211,0.003062237582345236
