data_dim,rho,seed,selected_epoch,selected_eval_w1,selected_eval_mean_error,selected_eval_diag_var_error,selected_checkpoint_score,best_epoch,best_eval_w1,best_eval_mean_error,best_eval_diag_var_error,best_checkpoint_score
10,0.5,0,100.0,2.4697745773883004,0.10519351810216904,0.25987178087234497,2.7401657100708623,100.0,2.4697745773883004,0.10519351810216904,0.25987178087234497,2.7401657100708623
10,0.5,1,125.0,2.305406662938533,0.11118650436401367,0.29450902342796326,2.6110343368028976,125.0,2.305406662938533,0.11118650436401367,0.29450902342796326,2.6110343368028976
10,0.5,2,125.0,2.413397014209369,0.06747705489397049,0.26471564173698425,2.6848603614357502,125.0,2.413397014209369,0.06747705489397049,0.26471564173698425,2.6848603614357502
10,0.8,0,75.0,2.700401227936642,0.18792694807052612,0.3144107162952423,3.033604639038937,75.0,2.700401227936642,0.18792694807052612,0.3144107162952423,3.033604639038937
10,0.8,1,100.0,2.2921910924569926,0.41821977496147156,0.5254510641098022,2.859464134062942,100.0,2.2921910924569926,0.41821977496147156,0.5254510641098022,2.859464134062942
10,0.8,2,125.0,2.7340373166839873,0.19751043617725372,0.3352339267730713,3.089022287074784,125.0,2.7340373166839873,0.19751043617725372,0.3352339267730713,3.089022287074784
20,0.5,0,50.0,3.7876001742939787,0.5298582315444946,0.8259307146072388,4.6665167120556665,50.0,3.7876001742939787,0.5298582315444946,0.8259307146072388,4.6665167120556665
20,0.5,1,75.0,4.373571478499561,0.14443029463291168,0.32836389541625977,4.716378403379112,75.0,4.373571478499561,0.14443029463291168,0.32836389541625977,4.716378403379112
20,0.5,2,50.0,3.6412864904921918,0.3199257552623749,0.8224277496337891,4.495706815652218,50.0,3.6412864904921918,0.3199257552623749,0.8224277496337891,4.495706815652218
20,0.8,0,75.0,4.161995748815981,0.3060506582260132,0.6184573173522949,4.811058131990877,75.0,4.161995748815981,0.3060506582260132,0.6184573173522949,4.811058131990877
20,0.8,1,75.0,3.997489159255535,0.46983638405799866,0.6322814226150513,4.676754220276386,75.0,3.997489159255535,0.46983638405799866,0.6322814226150513,4.676754220276386
20,0.8,2,75.0,4.131586181766147,0.9296574592590332,0.6324249505996704,4.856976878291721,75.0,4.131586181766147,0.9296574592590332,0.6324249505996704,4.856976878291721
