data_dim,rho,seed,selected_epoch,selected_eval_w1,best_epoch,best_eval_w1
2,0.2,0,50.0,nan,50.0,nan
2,0.2,1,50.0,nan,50.0,nan
2,0.2,2,50.0,nan,50.0,nan
2,0.2,3,50.0,nan,50.0,nan
2,0.2,4,50.0,nan,50.0,nan
2,0.2,5,50.0,nan,50.0,nan
2,0.2,6,50.0,nan,50.0,nan
2,0.2,7,50.0,nan,50.0,nan
2,0.2,8,50.0,nan,50.0,nan
2,0.2,9,50.0,nan,50.0,nan
2,0.5,0,50.0,nan,50.0,nan
2,0.5,1,50.0,nan,50.0,nan
2,0.5,2,50.0,nan,50.0,nan
2,0.5,3,50.0,nan,50.0,nan
2,0.5,4,50.0,nan,50.0,nan
2,0.5,5,50.0,nan,50.0,nan
2,0.5,6,50.0,nan,50.0,nan
2,0.5,7,50.0,nan,50.0,nan
2,0.5,8,50.0,nan,50.0,nan
2,0.5,9,50.0,nan,50.0,nan
2,0.8,0,50.0,nan,50.0,nan
2,0.8,1,50.0,nan,50.0,nan
2,0.8,2,50.0,nan,50.0,nan
2,0.8,3,50.0,nan,50.0,nan
2,0.8,4,50.0,nan,50.0,nan
2,0.8,5,50.0,nan,50.0,nan
2,0.8,6,50.0,nan,50.0,nan
2,0.8,7,50.0,nan,50.0,nan
2,0.8,8,50.0,nan,50.0,nan
2,0.8,9,50.0,nan,50.0,nan
5,0.2,0,50.0,nan,50.0,nan
5,0.2,1,50.0,nan,50.0,nan
5,0.2,2,50.0,nan,50.0,nan
5,0.2,3,50.0,nan,50.0,nan
5,0.2,4,50.0,nan,50.0,nan
5,0.2,5,50.0,nan,50.0,nan
5,0.2,6,50.0,nan,50.0,nan
5,0.2,7,50.0,nan,50.0,nan
5,0.2,8,50.0,nan,50.0,nan
5,0.2,9,50.0,nan,50.0,nan
5,0.5,0,50.0,nan,50.0,nan
5,0.5,1,50.0,nan,50.0,nan
5,0.5,2,50.0,nan,50.0,nan
5,0.5,3,50.0,nan,50.0,nan
5,0.5,4,50.0,nan,50.0,nan
5,0.5,5,50.0,nan,50.0,nan
5,0.5,6,50.0,nan,50.0,nan
5,0.5,7,50.0,nan,50.0,nan
5,0.5,8,50.0,nan,50.0,nan
5,0.5,9,50.0,nan,50.0,nan
5,0.8,0,50.0,nan,50.0,nan
5,0.8,1,50.0,nan,50.0,nan
5,0.8,2,50.0,nan,50.0,nan
5,0.8,3,50.0,nan,50.0,nan
5,0.8,4,50.0,nan,50.0,nan
5,0.8,5,50.0,nan,50.0,nan
5,0.8,6,50.0,nan,50.0,nan
5,0.8,7,50.0,nan,50.0,nan
5,0.8,8,50.0,nan,50.0,nan
5,0.8,9,50.0,nan,50.0,nan
10,0.2,0,50.0,nan,50.0,nan
10,0.2,1,50.0,nan,50.0,nan
10,0.2,2,50.0,nan,50.0,nan
10,0.2,3,50.0,nan,50.0,nan
10,0.2,4,50.0,nan,50.0,nan
10,0.2,5,50.0,nan,50.0,nan
10,0.2,6,50.0,nan,50.0,nan
10,0.2,7,50.0,nan,50.0,nan
10,0.2,8,50.0,nan,50.0,nan
10,0.2,9,50.0,nan,50.0,nan
10,0.5,0,50.0,nan,50.0,nan
10,0.5,1,50.0,nan,50.0,nan
10,0.5,2,50.0,nan,50.0,nan
10,0.5,3,50.0,nan,50.0,nan
10,0.5,4,50.0,nan,50.0,nan
10,0.5,5,50.0,nan,50.0,nan
10,0.5,6,50.0,nan,50.0,nan
10,0.5,7,50.0,nan,50.0,nan
10,0.5,8,50.0,nan,50.0,nan
10,0.5,9,50.0,nan,50.0,nan
10,0.8,0,50.0,nan,50.0,nan
10,0.8,1,50.0,nan,50.0,nan
10,0.8,2,50.0,nan,50.0,nan
10,0.8,3,50.0,nan,50.0,nan
10,0.8,4,50.0,nan,50.0,nan
10,0.8,5,50.0,nan,50.0,nan
10,0.8,6,50.0,nan,50.0,nan
10,0.8,7,50.0,nan,50.0,nan
10,0.8,8,50.0,nan,50.0,nan
10,0.8,9,50.0,nan,50.0,nan
20,0.2,0,50.0,nan,50.0,nan
20,0.2,1,50.0,nan,50.0,nan
20,0.2,2,50.0,nan,50.0,nan
20,0.2,3,50.0,nan,50.0,nan
20,0.2,4,50.0,nan,50.0,nan
20,0.2,5,50.0,nan,50.0,nan
20,0.2,6,50.0,nan,50.0,nan
20,0.2,7,50.0,nan,50.0,nan
20,0.2,8,50.0,nan,50.0,nan
20,0.2,9,50.0,nan,50.0,nan
20,0.5,0,50.0,nan,50.0,nan
20,0.5,1,50.0,nan,50.0,nan
20,0.5,2,50.0,nan,50.0,nan
20,0.5,3,50.0,nan,50.0,nan
20,0.5,4,50.0,nan,50.0,nan
20,0.5,5,50.0,nan,50.0,nan
20,0.5,6,50.0,nan,50.0,nan
20,0.5,7,50.0,nan,50.0,nan
20,0.5,8,50.0,nan,50.0,nan
20,0.5,9,50.0,nan,50.0,nan
20,0.8,0,50.0,nan,50.0,nan
20,0.8,1,50.0,nan,50.0,nan
20,0.8,2,50.0,nan,50.0,nan
20,0.8,3,50.0,nan,50.0,nan
20,0.8,4,50.0,nan,50.0,nan
20,0.8,5,50.0,nan,50.0,nan
20,0.8,6,50.0,nan,50.0,nan
20,0.8,7,50.0,nan,50.0,nan
20,0.8,8,50.0,nan,50.0,nan
20,0.8,9,50.0,nan,50.0,nan
