gp_lambda,n_critic,num_seeds,run_dir,best_val_w1_mean,best_val_w1_std,selected_val_w1_mean,selected_val_w1_std,w1_mean,w1_std,w2_mean,w2_std,mean_error_mean,mean_error_std,var_error_mean,var_error_std,fake_corr_mean,fake_corr_std,selected_epoch_mean,selected_epoch_std
1.0,1,10,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_1,0.27523336882592203,0.03067318349689592,0.27523336882592203,0.03067318349689592,0.32261448505217966,0.06534498310467977,0.3871537040880475,0.07123282303193654,0.2516777217388153,0.07482780325206974,0.12176727056503296,0.05213175182249927,-0.0012290792306885122,0.038990882980335206,83.0,42.43819034784589
1.0,5,10,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_5,0.19245773456070653,0.01849087532840009,0.19245773456070653,0.01849087532840009,0.22662253810664482,0.027662217134251026,0.28256343731483613,0.0292517194861224,0.0846449451521039,0.04412172445917779,0.056979337334632875,0.04864304947859223,-0.003302461560815573,0.02329085297499033,133.0,46.05431575867782
1.0,10,10,outputs/wgan_gp_hparam_sweep/gp_1_ncritic_10,0.19066706004652967,0.01616072210217375,0.19066706004652967,0.01616072210217375,0.21318149246392126,0.021963183498109353,0.2706749261674207,0.018794541006348586,0.08430171553045511,0.03742142902102677,0.08328768610954285,0.056109126560594975,0.006240950571373105,0.018675912792542913,154.0,37.469987990390386
2.0,1,10,outputs/wgan_gp_hparam_sweep/gp_2_ncritic_1,0.29803225177776643,0.05004004785694443,0.29803225177776643,0.05004004785694443,0.3626582289894991,0.08624258561911667,0.4277880581797312,0.07858957234822524,0.29650615602731706,0.10727076736600806,0.13113207817077638,0.12051437354845841,0.00017419736832380295,0.03929962257611334,62.0,24.413111231467404
2.0,5,10,outputs/wgan_gp_hparam_sweep/gp_2_ncritic_5,0.19889570977439106,0.01151716766412482,0.19889570977439106,0.01151716766412482,0.2209997562271966,0.025918039428278698,0.2760328427019608,0.024425988256288955,0.09347595497965813,0.0541213436027771,0.0608441174030304,0.03308380054246267,-0.000416982383467257,0.02630134311741901,134.0,52.57375771237966
2.0,10,10,outputs/wgan_gp_hparam_sweep/gp_2_ncritic_10,0.19077061728602407,0.012788590034843943,0.19077061728602407,0.012788590034843943,0.22934220383681198,0.01888353780966008,0.2897346922212417,0.029116101321141927,0.10703234113752842,0.03948960693592357,0.09638776481151581,0.033998758904040555,0.005177334521431476,0.0192646901711568,138.0,33.406586176980134
5.0,1,10,outputs/wgan_gp_hparam_sweep/gp_5_ncritic_1,0.44541066712193356,0.1353140044277595,0.44541066712193356,0.1353140044277595,0.4780041114135603,0.14178358012816714,0.5657007714616296,0.1499367756297741,0.3568021260201931,0.14589906347014367,0.2775052232667804,0.21199474110376254,-0.003791586495935917,0.03495417728421585,104.0,43.174066289845804
5.0,5,10,outputs/wgan_gp_hparam_sweep/gp_5_ncritic_5,0.2343919307364452,0.026132832290603234,0.2343919307364452,0.026132832290603234,0.2611224332464989,0.035749296810993626,0.3309929756972703,0.035434140971994904,0.1033600414171815,0.06633388184586037,0.11459746658802032,0.0960389599073782,-0.0013503690715879202,0.030392460344077655,148.0,31.559467676119
5.0,10,10,outputs/wgan_gp_hparam_sweep/gp_5_ncritic_10,0.22458250268737237,0.022348601494380588,0.22458250268737237,0.022348601494380588,0.24829117813698173,0.04527857707970921,0.3190027620192115,0.041917520513876774,0.10510636121034622,0.06710448948541778,0.12224128842353821,0.03926909578109507,0.004608398966956884,0.018229542670058597,178.0,27.85677655436824
10.0,1,10,outputs/wgan_gp_hparam_sweep/gp_10_ncritic_1,0.5521417588391515,0.16167830550008813,0.5521417588391515,0.16167830550008813,0.5565215794072598,0.17455171745354972,0.6721973306987705,0.21622664021915583,0.4196448937058449,0.1561281686614438,0.3674046417698264,0.25986280724991145,-0.0046519013558281586,0.02809670114149902,76.0,28.35489375751565
10.0,5,10,outputs/wgan_gp_hparam_sweep/gp_10_ncritic_5,0.2528493770022863,0.030236096561581435,0.2528493770022863,0.030236096561581435,0.27372016429489665,0.041347548903302035,0.3421265279127266,0.04912148646056687,0.14834975823760033,0.051763289119146544,0.14198271334171295,0.07498382369460854,-0.0018082646653056144,0.030514370564497916,140.0,36.05551275463989
10.0,10,10,outputs/wgan_gp_hparam_sweep/gp_10_ncritic_10,0.2559297263866146,0.032624968184957026,0.2559297263866146,0.032624968184957026,0.28680417020268134,0.04118367965821858,0.3611058767983216,0.039195558885511426,0.0919933931902051,0.05572788724817396,0.2057545602321625,0.09148363860973044,0.0026779325329698623,0.021742205137078356,132.0,11.661903789690601
